RemateID,Actor,Date_YYYY-MM-DD,Abono,Cargo
27555,avanza construccion ltda,2016-Sep-05,35409,0
27761,Comercial 2050,2016-Nov-11,9869,0
28106,avendaño y aranda,2016-May-05,552636,0
28948,ingecom,2016-Dec-20,257029,0
29515,abratec,2017-May-17,258284,0
29597,hurtado bombeo de hormigon,2016-12-22,503075,0
29602,IC FENIX,2017-04-12,125615,0
29933,teur chile spa,2017-06-30,126259,0
30065,dolphins,2017-05-16,512947,0
30494,hincavial,2017-05-08,208898,0
30495,milla tires,2017-06-29,50922,0
30809,hincavial,2017-05-25,39416,0
30968,universidad del pacifico,2017-08-29,11613,0
31045,Reminisen,2017-07-04,32949,0
31047,Reminisen,2017-08-14,28180,0
31193,transportes roll,2017-06-10,253982,0
31220,MONTAJES M&S,2017-06-1,507052,0
31288,Alimil,2017-05-24,456667,0
31406,pl trading,2017-10-30,82075,0
31426,Uno Market,2017-09-11,74872,0
31453,Uno Market,2017-06-13,448249,0
31465,policart curico,2017-12-06,131934,0
31516,servicur,2017-06-05,452674,0
31521,proyecto propio,2017-06-13,256786,0
31950,ragori,2017-10-19,241331,0
32146,constructora jose y jose,2017-06-19,1016864,0
32224,constructora jose y jose,2017-09-06,507525,0
32226,viveros chile,2017-10-05,514829,0
32326,reminisen,2017-08-31,121671,0
32327,reminisen,2017-09-01,172328,0
32438,universidad del pacifico,2017-09-01,222585,0
32466,ingecom,2017-10-26,519415,0
32548,comercial 2050,2017-11-29,333511,0
32730,reminisen,2017-11-16,156055,0
32846,constructora arbeit,2017-09-21,202037,0
32885,reminisen,2017-10-30,203669,0
33060,dyma radios,2018-01-19,98763,0
33181,ingecom,2017-09-13,1010713,0
33217,r y r ltda,2017-10-19,507083,0
33661,social it,2017-09-26,501858,0
33675,murano ltda,2017-09-27,505061,0
33728,dolphins,2017-11-14,507700,0
33743,hincavial,2017-10-26,503264,0
33763,comercial 2050,2018-01-09,260012,0
33765,viveros chile,2018-06-25,499868,0
33819,sdi,2017-12-08,61897,0
34371,tres ingenieria,2018-02-22,168873,0
64085,orion spa,2022-11-30,152474,0
64210,disenar ltda,2022-11-24,1024384,0
64307,aquasys 2,2022-09-21,1113424,0
64924,constructora calafate spa,2022-12-01,1028664,0
65196,constructora rsm spa,2022-11-24,1024646,0
65199,cotar,2022-11-17,1016787,0
65207,disenar ltda,2022-12-27,1038743,0
65222,constructora felipe hernan,2022-12-01,511049,0
65258,JOSE MIGUEL CARREÑO FIGUEROA,2022-12-02,495909,0
65668,Las Cumbres,2023-01-24,517500,0
65939,CONSTRUCTORA PAZ E.I.R.L,2022-12-06,1015668,0
66009,VICTOR ALMONACID,2023-02-09,102952,0
66010,vibrados y construcciones carlos novoa espinoza eirl,2023-01-25,1029000,0
66019,Comercial 2050,2023-01-19,324095,0
72775,QUINTA SOLAR LIMITADA,2023-09-29,1166,0
